modelo,nombre,n_existencias,precio,descripcion,id_proveedor,id_marca,costo,id_tienda,notas
6377,Bianchi,2,200.00,bajo Emilio,10,11,100.00,3,""
6395,Bianchi,1,1900.00,"",10,11,950.00,3,""
6411,Bianchi,1,800.00,"",10,11,400.00,3,""
6417,Bianchi,2,700.00,bajo Emilio,10,11,350.00,3,""
6433,Bianchi,1,400.00,bajo Emilio,10,11,200.00,3,""
6473,Bianchi,2,1260.00,"",10,11,630.00,3,""
6485,Bianchi,3,1900.00,"",10,11,950.00,3,""
6511,Bianchi,3,1300.00,"",10,11,650.00,3,""
6521,Bianchi,0,500.00,bajo Emilio,10,11,250.00,3,""
6549,Bianchi,2,1000.00,"",10,11,500.00,3,""
6553,Bianchi,1,500.00,bajo Emilio,10,11,250.00,3,""
6605,Bianchi,5,1260.00,"",10,11,630.00,3,""
6621,Bianchi,2,700.00,"",10,11,350.00,3,""
6685,Bianchi,0,1800.00,"",10,11,900.00,3,""
6729,Bianchi,1,900.00,"",10,11,450.00,3,""
6771,Bianchi,5,2000.00,"",10,11,1000.00,3,""
6787,Bianchi,1,500.00,"",10,11,250.00,3,""
6797,Bianchi,1,1200.00,"",10,11,600.00,3,""
6803,Bianchi,1,1500.00,"",10,11,750.00,3,""
6863,Bianchi,1,1200.00,"",10,11,600.00,3,""
6895,Bianchi,2,1000.00,"",10,11,500.00,3,""
6905,Bianchi,2,500.00,"",10,11,250.00,3,""
6919,Bianchi,5,1200.00,"",10,11,600.00,3,""
6957,Bianchi,0,800.00,"",10,11,400.00,3,""
6971,Bianchi,0,800.00,"",10,11,400.00,3,""
7003,Bianchi,4,1140.00,"",10,11,570.00,3,""
7011,Bianchi,1,1000.00,"",10,11,500.00,3,""
7047,Bianchi,3,1600.00,"",10,11,800.00,3,""
7055,Bianchi,2,1344.00,"",10,11,672.00,3,""
7057,Bianchi,5,1000.00,"",10,11,500.00,3,""
7071,Bianchi,9,1400.00,"",10,11,700.00,3,""
7083,Bianchi,8,1680.00,"",10,11,840.00,3,""
7087,Bianchi,4,1440.00,"",10,11,720.00,3,""
7111,Bianchi,2,1350.00,"",10,11,675.00,3,""
7115,Bianchi,2,2100.00,"",10,11,1050.00,3,""
7123,Bianchi,2,2500.00,"",10,11,1250.00,3,""
7161,Bianchi,1,1152.00,"",10,11,576.00,3,""
7179,Bianchi,3,1400.00,"",10,11,700.00,3,""
7181,Bianchi,2,2100.00,"",10,11,1050.00,3,""
7193,Bianchi,1,1050.00,"",10,11,525.00,3,""
7221,Bianchi,1,1260.00,"",10,11,630.00,3,""
7227,Bianchi,2,1960.00,"",10,11,980.00,3,""
7225,Bianchi,2,1900.00,"",10,11,950.00,3,""
7245,Bianchi,1,1960.00,"",10,11,980.00,3,""
7275,Bianchi,2,900.00,"",10,11,450.00,3,""
7279,Bianchi,1,900.00,"",10,11,450.00,3,""
7317,Bianchi,2,1470.00,"",10,11,735.00,3,""
7337,Bianchi,1,1100.00,"",10,11,550.00,3,""
7401,Bianchi,2,2100.00,"",10,11,1050.00,3,""
7431,Bianchi,0,2400.00,"",10,11,1200.00,3,""
7443,Bianchi,2,1200.00,"",10,11,600.00,3,""
7507,Bianchi,3,1200.00,"",10,11,600.00,3,""
7565,Bianchi,1,900.00,"",10,11,450.00,3,""
7573,Bianchi,1,1800.00,"",10,11,900.00,3,""
7599,Bianchi,6,2040.00,"",10,11,1020.00,3,""
7605,Bianchi,3,1260.00,"",10,11,630.00,3,""
7611,Bianchi,2,1000.00,**que bajo a 550,10,11,500.00,3,""
7647,Bianchi,1,1900.00,"",10,11,950.00,3,""
7663,Bianchi,1,800.00,"",10,11,400.00,3,""
7685,Bianchi,2,1700.00,"",10,11,850.00,3,""
7703,Bianchi,2,972.00,"",10,11,486.00,3,""
7715,Bianchi,1,2000.00,"",10,11,1000.00,3,""
7721,Bianchi,1,1600.00,"",10,11,800.00,3,""
7749,Bianchi,1,2400.00,"",10,11,1200.00,3,""
7755,Bianchi,7,1000.00,"",10,11,500.00,3,""
7761,Bianchi,6,2000.00,"",10,11,1000.00,3,""
7765,Bianchi,2,1600.00,"",10,11,800.00,3,""
7799,Bianchi,1,500.00,"",10,11,250.00,3,""
7803,Bianchi,1,1700.00,"",10,11,850.00,3,""
7807,Bianchi,1,2400.00,"",10,11,1200.00,3,""
7837,Bianchi,3,700.00,"",10,11,350.00,3,""
7839,Bianchi,1,1560.00,"",10,11,780.00,3,""
7877,Bianchi,1,1700.00,"",10,11,850.00,3,""
7895,Bianchi,2,1700.00,"",10,11,850.00,3,""
7899,Bianchi,2,1350.00,"",10,11,675.00,3,""
7903,Bianchi,2,1900.00,"",10,11,950.00,3,""
8007,Bianchi,5,1150.00,"",10,11,575.00,3,""
8089,Bianchi,1,2200.00,"",10,11,1100.00,3,""
8093,Bianchi,3,1800.00,"",10,11,900.00,3,""
8097,Bianchi,2,2130.00,"",10,11,1065.00,3,""
8099,Bianchi,2,1700.00,"",10,11,850.00,3,""
8145,Bianchi,7,2200.00,81451,10,11,1100.00,3,""
8153,Bianchi,2,1800.00,"",10,11,900.00,3,""
8161,Bianchi,0,1000.00,"",10,11,500.00,3,""
8167,Bianchi,1,1900.00,"",10,11,950.00,3,""
8203,Bianchi,10,700.00,"",10,11,350.00,3,""
8207,Bianchi,0,2200.00,aBianca29jul,10,11,1100.00,3,""
8211,Bianchi,2,700.00,"",10,11,350.00,3,""
8245,Bianchi,1,1500.00,"",10,11,750.00,3,""
8291,Bianchi,4,1580.00,"",10,11,790.00,3,""
8345,Bianchi,0,2000.00,"",10,11,1000.00,3,""
8397N,Bianchi,1,540.00,rebaja,10,11,270.00,3,""
8401,Bianchi,1,1470.00,"",10,11,735.00,3,""
8413,Bianchi,1,200.00,rebaja,10,11,100.00,3,""
8519,Bianchi,14,2200.00,"",10,11,1100.00,3,""
8533,Bianchi,2,1300.00,"",10,11,650.00,3,""
8535,Bianchi,5,2200.00,"",10,11,1100.00,3,""
8547,Bianchi,5,2300.00,"",10,11,1150.00,3,""
8571,Bianchi,2,1800.00,"",10,11,900.00,3,""
8607,Bianchi,6,2000.00,"",10,11,1000.00,3,""
8613,Bianchi,0,2000.00,"",10,11,1000.00,3,""
8615,Bianchi,16,1980.00,"",10,11,990.00,3,""
8653,Bianchi,5,1900.00,"",10,11,950.00,3,""
8659,Bianchi,8,1800.00,"",10,11,900.00,3,""
8679,Bianchi,7,1900.00,"",10,11,950.00,3,""
8691,Bianchi,7,2200.00,"",10,11,1100.00,3,""
8721,Bianchi,6,2100.00,"",10,11,1050.00,3,""
8753,Bianchi,9,1900.00,"",10,11,950.00,3,""
8775,Bianchi,5,2200.00,"",10,11,1100.00,3,""
8784,Bianchi,8,2400.00,"",10,11,1200.00,3,""
8797,Bianchi,3,2200.00,"",10,11,1100.00,3,""
8827,Bianchi,4,1820.00,"",10,11,910.00,3,""
18515,Bianchi,6,2200.00,"",10,11,1100.00,3,""
